GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
0100000US,,United States,2569170,14914,1273660,8874,95597,1772,101900,1806,104292,1828,65559,1436,44992,1220,110900,2008,95638,1763,87921,1576,165085,2960,172202,2301,131311,1716,67594,1280,24943,742,5726,422,1295510,8117,92291,1825,100057,1852,99124,1862,60214,1362,42012,1185,106049,1787,92535,1512,89166,1596,169684,2199,175421,2393,145682,1888,77735,1192,33382,864,12158,625
0400000US17,17,Illinois,28363,1728,13988,964,656,178,872,194,1220,255,640,148,497,115,1057,242,926,201,1009,199,2188,252,2009,267,1859,204,694,156,319,118,42,31,14375,1018,845,197,1090,220,920,187,680,152,349,116,1009,245,836,183,1004,236,2095,330,2187,304,1651,253,1170,208,313,100,226,113
0500000US17001,17001,"Adams County, Illinois",170,114,113,95,14,22,0,26,0,26,14,22,0,26,0,26,28,39,0,26,24,33,9,13,5,8,19,29,0,26,0,26,57,31,14,22,0,26,0,26,0,26,0,26,12,18,0,26,0,26,0,26,0,26,31,25,0,26,0,26,0,26
0500000US17003,17003,"Alexander County, Illinois",38,15,22,14,0,15,0,15,9,11,0,15,0,15,0,15,1,2,10,13,1,3,0,15,1,5,0,15,0,15,0,15,16,12,0,15,4,5,8,12,0,15,0,15,0,15,0,15,3,4,0,15,0,15,0,15,1,2,0,15,0,15
0500000US17005,17005,"Bond County, Illinois",19,21,19,21,0,17,0,17,0,17,0,17,0,17,4,7,0,17,9,16,0,17,0,17,6,11,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
0500000US17007,17007,"Boone County, Illinois",127,164,83,118,0,26,0,26,38,62,0,26,0,26,0,26,14,22,0,26,31,48,0,26,0,26,0,26,0,26,0,26,44,53,0,26,28,48,0,26,0,26,0,26,0,26,0,26,0,26,16,29,0,26,0,26,0,26,0,26,0,26
0500000US17009,17009,"Brown County, Illinois",0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US17011,17011,"Bureau County, Illinois",76,18,44,22,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,2,4,20,16,22,22,0,23,0,23,0,23,32,24,0,23,0,23,2,4,0,23,0,23,0,23,0,23,0,23,0,23,25,23,2,3,0,23,3,4,0,23
0500000US17013,17013,"Calhoun County, Illinois",4,6,2,3,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,2,3,0,11,0,11,0,11,2,3,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,2,3,0,11,0,11,0,11
0500000US17015,17015,"Carroll County, Illinois",14,15,6,9,0,17,0,17,0,17,0,17,0,17,5,9,0,17,0,17,0,17,1,3,0,17,0,17,0,17,0,17,8,11,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,8,11,0,17,0,17,0,17,0,17
0500000US17017,17017,"Cass County, Illinois",6,8,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,6,8,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,6,8,0,17,0,17,0,17
0500000US17019,17019,"Champaign County, Illinois",325,91,201,64,8,13,6,10,0,26,0,26,4,8,27,25,9,13,29,31,53,38,38,24,27,18,0,26,0,26,0,26,124,65,0,26,0,26,6,10,6,10,12,23,0,26,17,28,0,26,15,22,50,45,1,4,17,24,0,26,0,26
0500000US17021,17021,"Christian County, Illinois",49,37,42,35,0,23,0,23,0,23,1,3,0,23,0,23,28,34,0,23,0,23,0,23,8,11,5,8,0,23,0,23,7,11,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,7,11,0,23,0,23
0500000US17023,17023,"Clark County, Illinois",6,12,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,6,12,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,6,12,0,17,0,17,0,17
0500000US17025,17025,"Clay County, Illinois",25,22,8,7,3,4,0,17,0,17,0,17,0,17,0,17,0,17,0,17,3,4,0,17,0,17,2,4,0,17,0,17,17,16,4,4,0,17,3,4,8,9,0,17,0,17,0,17,0,17,0,17,0,17,2,3,0,17,0,17,0,17
0500000US17027,17027,"Clinton County, Illinois",51,38,8,11,0,23,0,23,0,23,0,23,0,23,8,11,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,43,37,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,12,11,0,23,25,37,6,10,0,23
0500000US17029,17029,"Coles County, Illinois",80,52,30,21,0,26,0,26,0,26,1,2,0,26,0,26,0,26,0,26,16,17,0,26,9,13,4,9,0,26,0,26,50,50,15,24,0,26,0,26,0,26,0,26,17,26,0,26,0,26,0,26,7,12,0,26,11,16,0,26,0,26
0500000US17031,17031,"Cook County, Illinois",13223,1167,6213,670,285,96,324,135,484,155,244,105,248,80,563,176,362,121,446,132,1033,211,894,156,864,169,330,102,131,79,5,8,7010,689,334,154,605,139,444,134,289,106,96,53,443,176,495,131,572,149,949,224,1003,182,953,201,588,160,166,82,73,65
0500000US17033,17033,"Crawford County, Illinois",26,23,19,17,0,17,0,17,0,17,0,17,0,17,6,13,0,17,0,17,10,13,0,17,1,2,2,4,0,17,0,17,7,12,0,17,4,12,0,17,0,17,0,17,0,17,0,17,0,17,0,17,3,4,0,17,0,17,0,17,0,17
0500000US17035,17035,"Cumberland County, Illinois",21,16,21,16,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,4,6,17,14,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
0500000US17037,17037,"DeKalb County, Illinois",237,243,77,94,0,26,24,39,0,26,0,26,0,26,13,18,0,26,0,26,33,54,0,26,7,10,0,26,0,26,0,26,160,156,0,26,53,90,0,26,10,19,14,21,8,13,0,26,40,57,13,17,0,26,18,24,4,6,0,26,0,26
0500000US17039,17039,"De Witt County, Illinois",10,11,4,6,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,2,5,2,3,0,17,0,17,0,17,6,9,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,2,6,4,6,0,17,0,17,0,17,0,17
0500000US17041,17041,"Douglas County, Illinois",47,17,17,27,0,17,0,17,0,17,0,17,0,17,2,5,0,17,0,17,8,17,0,17,5,11,0,17,2,4,0,17,30,16,0,17,25,20,0,17,0,17,0,17,0,17,0,17,3,7,0,17,2,3,0,17,0,17,0,17,0,17
0500000US17043,17043,"DuPage County, Illinois",2018,564,1036,330,69,58,88,56,108,98,74,52,10,17,54,39,57,52,66,45,172,75,208,123,87,57,30,23,0,26,13,19,982,275,74,49,80,55,104,72,18,23,52,45,121,87,38,42,72,59,107,67,130,55,86,53,62,41,28,23,10,17
0500000US17045,17045,"Edgar County, Illinois",14,17,2,3,2,3,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,12,15,2,3,0,17,0,17,0,17,2,3,0,17,2,4,0,17,6,10,0,17,0,17,0,17,0,17,0,17
0500000US17047,17047,"Edwards County, Illinois",0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US17049,17049,"Effingham County, Illinois",30,26,19,21,0,23,0,23,0,23,3,7,7,15,0,23,0,23,0,23,9,14,0,23,0,23,0,23,0,23,0,23,11,16,0,23,0,23,0,23,0,23,8,14,0,23,0,23,0,23,0,23,0,23,0,23,3,7,0,23,0,23
0500000US17051,17051,"Fayette County, Illinois",15,19,9,17,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,9,17,0,20,0,20,0,20,0,20,6,7,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,3,5,3,4,0,20,0,20,0,20
0500000US17053,17053,"Ford County, Illinois",48,19,22,21,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,20,0,17,8,13,0,17,0,17,0,17,26,24,0,17,0,17,0,17,0,17,0,17,0,17,0,17,20,25,0,17,0,17,6,8,0,17,0,17,0,17
0500000US17055,17055,"Franklin County, Illinois",97,57,68,44,0,23,0,23,5,6,28,38,0,23,0,23,0,23,0,23,16,21,6,7,13,18,0,23,0,23,0,23,29,29,0,23,0,23,0,23,0,23,0,23,0,23,12,19,0,23,0,23,0,23,0,23,17,23,0,23,0,23
0500000US17057,17057,"Fulton County, Illinois",27,24,12,16,0,23,0,23,0,23,0,23,9,15,0,23,0,23,0,23,1,3,1,2,0,23,1,2,0,23,0,23,15,16,0,23,0,23,0,23,0,23,0,23,0,23,1,2,1,2,0,23,10,15,1,2,0,23,1,2,1,2
0500000US17059,17059,"Gallatin County, Illinois",33,13,25,11,3,5,4,5,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,14,16,4,7,0,15,0,15,8,7,0,15,0,15,0,15,0,15,0,15,0,15,0,15,5,6,0,15,0,15,0,15,3,6,0,15,0,15
0500000US17061,17061,"Greene County, Illinois",14,15,8,8,0,17,0,17,0,17,0,17,0,17,0,17,0,17,5,6,0,17,2,5,0,17,0,17,1,2,0,17,6,8,0,17,0,17,0,17,0,17,0,17,0,17,0,17,4,6,0,17,0,17,2,5,0,17,0,17,0,17
0500000US17063,17063,"Grundy County, Illinois",54,37,32,31,0,26,13,23,6,10,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,13,18,0,26,22,28,0,26,0,26,0,26,0,26,0,26,0,26,21,29,0,26,0,26,0,26,1,4,0,26,0,26,0,26
0500000US17065,17065,"Hamilton County, Illinois",8,13,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,8,13,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,8,13,0,15,0,15
0500000US17067,17067,"Hancock County, Illinois",59,51,37,29,0,17,0,17,0,17,0,17,18,24,0,17,0,17,1,4,1,2,10,12,1,2,4,5,2,5,0,17,22,25,0,17,0,17,0,17,0,17,0,17,18,24,0,17,0,17,0,17,0,17,3,5,1,3,0,17,0,17
0500000US17069,17069,"Hardin County, Illinois",5,6,5,6,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,5,6,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
0500000US17071,17071,"Henderson County, Illinois",34,42,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,34,42,0,15,0,15,0,15,0,15,0,15,0,15,2,3,0,15,0,15,0,15,0,15,32,42,0,15,0,15
0500000US17073,17073,"Henry County, Illinois",47,38,18,17,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,8,13,0,23,10,14,0,23,29,29,0,23,0,23,0,23,0,23,0,23,0,23,0,23,11,23,3,5,5,9,0,23,10,13,0,23,0,23
0500000US17075,17075,"Iroquois County, Illinois",18,19,8,12,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,8,12,0,20,0,20,0,20,0,20,10,12,0,20,0,20,0,20,0,20,0,20,6,10,0,20,0,20,0,20,0,20,0,20,0,20,4,5,0,20
0500000US17077,17077,"Jackson County, Illinois",244,130,111,70,4,8,18,29,0,26,1,2,0,26,0,26,49,59,0,26,5,8,0,26,34,23,0,26,0,26,0,26,133,91,0,26,23,27,33,33,0,26,0,26,0,26,32,37,0,26,0,26,29,38,16,29,0,26,0,26,0,26
0500000US17079,17079,"Jasper County, Illinois",9,15,9,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,9,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US17081,17081,"Jefferson County, Illinois",66,26,40,25,0,23,0,23,0,23,0,23,9,13,0,23,0,23,0,23,8,13,0,23,0,23,23,17,0,23,0,23,26,17,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,4,5,8,8,6,9,8,12,0,23
0500000US17083,17083,"Jersey County, Illinois",9,14,9,14,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,9,14,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20
0500000US17085,17085,"Jo Daviess County, Illinois",43,31,7,10,0,20,4,7,0,20,0,20,0,20,0,20,0,20,0,20,3,5,0,20,0,20,0,20,0,20,0,20,36,31,0,20,0,20,4,10,0,20,0,20,0,20,4,5,0,20,0,20,28,34,0,20,0,20,0,20,0,20
0500000US17087,17087,"Johnson County, Illinois",13,15,10,13,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,3,5,7,12,0,17,0,17,3,6,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,3,6,0,17
0500000US17089,17089,"Kane County, Illinois",1877,433,1019,284,39,35,146,84,80,78,96,54,26,26,47,42,38,39,116,94,129,73,111,60,74,65,45,54,53,65,19,25,858,254,57,63,63,68,102,63,78,57,30,32,46,45,23,30,67,52,146,67,68,48,89,78,23,20,27,31,39,52
0500000US17091,17091,"Kankakee County, Illinois",278,160,167,137,26,41,11,17,5,9,6,11,13,27,0,26,0,26,11,18,0,26,82,89,10,11,3,5,0,26,0,26,111,65,0,26,11,18,5,9,0,26,0,26,9,18,16,19,0,26,7,9,10,16,0,26,45,40,8,10,0,26
0500000US17093,17093,"Kendall County, Illinois",188,295,135,203,0,26,0,26,63,110,0,26,0,26,0,26,0,26,54,93,0,26,0,26,18,29,0,26,0,26,0,26,53,93,26,46,0,26,0,26,0,26,0,26,0,26,0,26,0,26,27,48,0,26,0,26,0,26,0,26,0,26
0500000US17095,17095,"Knox County, Illinois",83,80,27,34,0,26,0,26,8,16,0,26,6,10,0,26,0,26,0,26,0,26,11,16,2,4,0,26,0,26,0,26,56,49,0,26,0,26,18,21,7,12,0,26,5,8,0,26,0,26,0,26,7,12,7,10,0,26,12,18,0,26
0500000US17097,17097,"Lake County, Illinois",1095,315,519,171,27,25,35,24,8,14,16,12,25,35,63,45,48,38,60,62,38,34,103,71,76,30,3,7,17,20,0,26,576,178,13,21,11,18,24,26,55,44,17,22,77,54,55,57,0,26,118,68,114,61,28,20,55,29,9,11,0,26
0500000US17099,17099,"LaSalle County, Illinois",227,100,78,49,5,10,0,26,5,10,0,26,0,26,0,26,0,26,0,26,16,14,6,8,25,22,21,32,0,26,0,26,149,86,53,62,10,19,0,26,0,26,0,26,19,28,0,26,5,9,3,7,5,6,44,45,0,26,0,26,10,15
0500000US17101,17101,"Lawrence County, Illinois",51,66,38,45,0,17,11,18,11,18,0,17,0,17,0,17,0,17,1,2,10,18,0,17,4,8,0,17,0,17,1,3,13,24,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,13,24,0,17,0,17,0,17,0,17,0,17
0500000US17103,17103,"Lee County, Illinois",72,21,48,26,0,23,0,23,0,23,0,23,0,23,0,23,1,5,0,23,4,7,33,28,10,13,0,23,0,23,0,23,24,27,0,23,0,23,0,23,0,23,0,23,1,2,0,23,2,3,0,23,1,2,20,27,0,23,0,23,0,23
0500000US17105,17105,"Livingston County, Illinois",20,19,16,18,0,23,0,23,10,16,0,23,0,23,0,23,6,9,0,23,0,23,0,23,0,23,0,23,0,23,0,23,4,8,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,4,8
0500000US17107,17107,"Logan County, Illinois",55,41,12,10,0,20,0,20,3,5,0,20,0,20,0,20,0,20,0,20,0,20,5,8,0,20,0,20,4,6,0,20,43,37,0,20,0,20,0,20,3,5,0,20,0,20,2,6,1,2,6,7,31,36,0,20,0,20,0,20,0,20
0500000US17109,17109,"McDonough County, Illinois",53,35,16,16,0,23,0,23,0,23,0,23,0,23,0,23,2,4,0,23,3,5,0,23,11,14,0,23,0,23,0,23,37,32,0,23,0,23,0,23,0,23,0,23,0,23,0,23,17,26,0,23,7,10,0,23,0,23,13,19,0,23
0500000US17111,17111,"McHenry County, Illinois",272,148,135,92,0,26,21,22,0,26,0,26,0,26,0,26,0,26,13,19,71,59,30,48,0,26,0,26,0,26,0,26,137,82,2,4,21,23,13,16,0,26,0,26,0,26,0,26,0,26,58,51,21,25,3,7,7,12,12,21,0,26
