GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
0100000US,,United States,16235305,20725,7702678,12720,462259,3283,486619,4347,471801,3959,286462,1931,215199,1950,614994,3411,655467,2790,650542,2750,1254018,2689,1044874,2430,808123,1843,468833,1526,218291,1635,65196,1393,8532627,10259,443683,3374,476684,3820,474222,4027,278706,1945,211160,1951,593020,2993,700438,2878,738990,2478,1436645,3167,1198923,2714,987875,2137,578732,1681,294042,2120,119507,2066
0400000US17,17,Illinois,645642,2421,310197,1636,19842,440,20451,778,17844,742,10963,330,8077,301,23695,506,27043,494,29022,452,53116,489,38492,400,31974,308,20121,290,7748,305,1809,255,335445,1394,18610,575,20065,788,18763,721,10635,319,7633,237,23279,453,28823,410,32183,419,57854,539,43438,485,37829,304,23318,273,9807,360,3208,307
0500000US17001,17001,"Adams County, Illinois",560,42,252,43,17,20,55,26,0,26,1,4,1,2,4,8,7,15,31,17,94,38,15,27,18,21,9,13,0,26,0,26,308,59,10,15,63,45,28,24,0,26,5,12,25,38,17,21,61,80,30,28,43,41,26,25,0,26,0,26,0,26
0500000US17003,17003,"Alexander County, Illinois",23,11,15,12,1,5,0,15,0,15,0,15,0,15,0,15,7,8,1,2,2,4,0,15,2,5,2,3,0,15,0,15,8,5,0,15,2,3,0,15,0,15,0,15,0,15,0,15,0,15,5,4,1,3,0,15,0,15,0,15,0,15
0500000US17005,17005,"Bond County, Illinois",140,9,83,38,0,17,14,18,0,17,0,17,24,23,20,25,0,17,0,17,17,21,8,10,0,17,0,17,0,17,0,17,57,36,0,17,0,17,2,4,0,17,5,9,2,4,7,14,0,17,24,34,8,10,3,7,6,12,0,17,0,17
0500000US17007,17007,"Boone County, Illinois",703,102,290,85,40,42,23,34,3,6,0,26,21,29,0,26,49,62,14,26,49,48,31,30,43,23,2,4,0,26,15,18,413,85,29,40,48,43,8,8,0,26,0,26,0,26,22,29,96,58,69,68,32,37,64,29,30,40,0,26,15,18
0500000US17009,17009,"Brown County, Illinois",79,100,60,83,0,15,3,4,4,5,0,15,0,15,29,55,0,15,0,15,7,15,7,13,0,15,10,19,0,15,0,15,19,22,0,15,4,5,8,11,0,15,0,15,0,15,0,15,0,15,7,15,0,15,0,15,0,15,0,15,0,15
0500000US17011,17011,"Bureau County, Illinois",261,25,97,26,13,12,6,9,0,23,0,23,0,23,0,23,0,23,19,16,22,20,20,23,8,10,9,9,0,23,0,23,164,24,0,23,11,10,6,8,4,4,3,5,0,23,30,22,16,21,21,17,19,17,21,22,27,15,0,23,6,12
0500000US17013,17013,"Calhoun County, Illinois",1,2,1,2,0,11,0,11,0,11,0,11,1,2,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
0500000US17015,17015,"Carroll County, Illinois",63,24,21,13,4,7,0,17,0,17,0,17,0,17,3,5,0,17,1,3,0,17,2,3,7,9,4,6,0,17,0,17,42,15,8,8,0,17,0,17,11,12,0,17,0,17,1,3,0,17,8,11,2,3,12,8,0,17,0,17,0,17
0500000US17017,17017,"Cass County, Illinois",33,25,18,13,0,17,0,17,4,5,0,17,0,17,0,17,0,17,0,17,0,17,6,5,8,10,0,17,0,17,0,17,15,15,0,17,0,17,0,17,4,5,0,17,5,5,0,17,0,17,0,17,4,5,0,17,2,4,0,17,0,17
0500000US17019,17019,"Champaign County, Illinois",20546,359,10838,228,457,75,494,116,273,83,309,28,1186,45,3456,110,1348,80,957,35,1118,49,555,82,381,11,236,58,60,47,8,12,9708,219,482,82,252,82,415,126,309,17,922,63,2637,49,1156,53,812,57,1126,49,751,9,499,26,258,64,89,52,0,26
0500000US17021,17021,"Christian County, Illinois",180,88,94,86,0,23,25,25,0,23,26,26,0,23,0,23,4,9,0,23,39,36,0,23,0,23,0,23,0,23,0,23,86,56,48,36,0,23,0,23,0,23,0,23,0,23,0,23,0,23,3,6,35,53,0,23,0,23,0,23,0,23
