,GEO.id,county,population,geoid,pop0,pop1,pop2,pop3,pop4,pop5,white,white0,white1,white2,white3,white4,white5,black,black0,black1,black2,black3,black4,black5,IndianAlaska,IndianAlaska0,IndianAlaska1,IndianAlaska2,IndianAlaska3,IndianAlaska4,IndianAlaska5,asian,asian0,asian1,asian2,asian3,asian4,asian5
0,0500000US17001,"Adams County, Illinois",21252007,17001,3454125,3678311,3495641,3479035,3537157,3607734,3619,588,626,595,592,602,614,267,43,46,43,43,44,45,28,4,4,4,4,4,4,27,4,4,4,4,4,4
1,0500000US17003,"Alexander County, Illinois",286219,17003,50928,53475,44817,44817,45326,46854,221,39,41,34,34,34,36,219,38,40,34,34,34,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,0500000US17005,"Bond County, Illinois",447410,17005,74724,66735,75194,77544,78484,74724,759,126,113,127,131,133,126,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0500000US17007,"Boone County, Illinois",16941633,17007,2613851,2724491,2664561,2899669,2936549,3102508,2769,427,445,435,473,479,507,85,13,13,13,14,14,15,0,0,0,0,0,0,0,69,10,11,10,11,11,12
4,0500000US17009,"Brown County, Illinois",134136,17009,23995,25175,18881,23601,19668,22814,265,47,49,37,46,38,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0500000US17011,"Bureau County, Illinois",958877,17011,166912,166477,159088,149525,151264,165608,1636,284,284,271,255,258,282,13,2,2,2,2,2,2,0,0,0,0,0,0,0,13,2,2,2,2,2,2
6,0500000US17013,"Calhoun County, Illinois",134135,17013,19995,23744,18329,22078,27076,22911,263,39,46,35,43,53,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0500000US17015,"Carroll County, Illinois",372408,17015,58871,66007,61547,65561,56641,63777,643,101,113,106,113,97,110,43,6,7,7,7,6,7,0,0,0,0,0,0,0,12,1,2,1,2,1,2
8,0500000US17017,"Cass County, Illinois",466350,17017,70752,68170,80049,81081,84180,82114,603,91,88,103,104,108,106,22,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0500000US17019,"Champaign County, Illinois",58205676,17019,10210409,10024381,9753794,9660780,9280268,9276040,7563,1326,1302,1267,1255,1205,1205,1982,347,341,332,328,316,315,8,1,1,1,1,1,1,939,164,161,157,155,149,149
10,0500000US17021,"Christian County, Illinois",980922,17021,152848,164572,166743,174125,155453,167177,1820,283,305,309,323,288,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,7,8,8,8,7,8
11,0500000US17023,"Clark County, Illinois",476452,17023,84301,83882,72138,77591,78010,80527,903,159,158,136,147,147,152,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1,1,1,1
12,0500000US17025,"Clay County, Illinois",425376,17025,62079,65139,75632,81315,68200,73009,781,113,119,138,149,125,134,0,0,0,0,0,0,0,7,1,1,1,1,1,1,0,0,0,0,0,0,0
13,0500000US17027,"Clinton County, Illinois",1094989,17027,176123,181905,182349,189466,177012,188131,1986,319,329,330,343,321,341,6,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0
14,0500000US17029,"Coles County, Illinois",13421248,17029,2194919,2331825,2146339,2225833,2212584,2309744,2272,371,394,363,376,374,391,70,11,12,11,11,11,12,15,2,2,2,2,2,2,10,1,1,1,1,1,1
15,0500000US17031,"Cook County, Illinois",172889167078,17031,37805453161,34024907845,22899778897,22916433281,20801326431,34441267461,172617,37745,33971,22863,22880,20768,34387,81676,17859,16073,10818,10826,9826,16270,619,135,121,81,82,74,123,20688,4523,4071,2740,2742,2489,4121
16,0500000US17033,"Crawford County, Illinois",503498,17033,79353,82924,84908,84908,86495,84908,981,154,161,165,165,168,165,8,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0500000US17035,"Cumberland County, Illinois",373300,17035,62527,64394,59728,60661,60194,65794,654,109,112,104,106,105,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0500000US17037,"DeKalb County, Illinois",30973077,17037,5053882,5070869,4862768,5164302,5334181,5487071,4697,766,768,737,783,808,832,680,110,111,106,113,117,120,0,0,0,0,0,0,0,93,15,15,14,15,16,16
19,0500000US17039,"De Witt County, Illinois",518400,17039,78345,77836,80888,95133,93607,92589,843,127,126,131,154,152,150,8,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0500000US17041,"Douglas County, Illinois",660673,17041,108547,114260,113852,105283,108547,110180,1276,209,220,219,203,209,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0500000US17043,"DuPage County, Illinois",2836327077,17043,469403837,452817129,449499788,478733861,480185198,505687261,41434,6857,6614,6566,6993,7014,7387,2805,464,447,444,473,474,500,143,23,22,22,24,24,25,6310,1044,1007,1000,1065,1068,1125
22,0500000US17045,"Edgar County, Illinois",518478,17045,93878,83871,91496,80535,81965,86730,937,169,151,165,145,148,156,12,2,1,2,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0500000US17047,"Edwards County, Illinois",199209,17047,33794,34683,31571,34683,33794,30681,379,64,65,60,65,64,58,7,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0500000US17049,"Effingham County, Illinois",11191073,17049,1746754,1784819,1827113,1920161,1903243,2008979,2123,331,338,346,364,361,381,13,2,2,2,2,2,2,0,0,0,0,0,0,0,12,1,1,1,2,2,2
25,0500000US17051,"Fayette County, Illinois",590612,17051,102294,100610,92612,98926,97663,98505,1186,205,202,185,198,196,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0500000US17053,"Ford County, Illinois",403337,17053,66361,73686,58604,68515,61620,74548,740,121,135,107,125,113,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0500000US17055,"Franklin County, Illinois",12471073,17055,2100846,2230528,2083555,1992778,1992778,2070587,2226,374,398,371,355,355,369,26,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0500000US17057,"Fulton County, Illinois",940900,17057,138180,137271,159089,166362,169543,170452,1773,260,258,299,313,319,321,11,1,1,1,1,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
29,0500000US17059,"Gallatin County, Illinois",129173,17059,23141,23983,23141,17671,19354,21879,260,46,48,46,35,38,44,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0500000US17061,"Greene County, Illinois",351381,17061,53203,59159,61541,61144,60350,55982,718,108,120,125,124,123,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0500000US17063,"Grundy County, Illinois",16521560,17063,2581224,2671718,2688954,2792376,2865633,2921653,3136,489,507,510,530,543,554,9,1,1,1,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0
32,0500000US17065,"Hamilton County, Illinois",250233,17065,35175,36510,41408,46751,44525,45861,466,65,67,77,87,82,85,17,2,2,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0500000US17067,"Hancock County, Illinois",561467,17067,85286,97131,95236,92393,92867,98552,982,149,169,166,161,162,172,20,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0500000US17069,"Hardin County, Illinois",11967,17069,1673,2129,1571,2079,2332,2180,186,26,33,24,32,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0500000US17071,"Henderson County, Illinois",158178,17071,33588,30854,23824,21480,24214,24214,302,64,58,45,41,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1,0,1,1
36,0500000US17073,"Henry County, Illinois",13261454,17073,2180239,2184239,2156236,2164237,2304252,2272249,2479,407,408,403,404,430,424,40,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0500000US17075,"Iroquois County, Illinois",785797,17075,120075,126440,120500,135774,142987,140017,1388,212,223,212,239,252,247,53,8,8,8,9,9,9,0,0,0,0,0,0,0,29,4,4,4,5,5,5
38,0500000US17077,"Jackson County, Illinois",15031561,17077,2816597,2471283,2512887,2383914,2371433,2475443,2065,386,339,345,327,325,340,380,71,62,63,60,59,62,4,0,0,0,0,0,0,28,5,4,4,4,4,4
39,0500000US17079,"Jasper County, Illinois",260300,17079,42416,45679,42054,40603,44591,44954,555,90,97,89,86,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
40,0500000US17081,"Jefferson County, Illinois",12071168,17081,1918204,1964680,2095659,2028057,2002706,2061858,1936,307,315,336,325,321,330,203,32,33,35,34,33,34,0,0,0,0,0,0,0,43,6,6,7,7,7,7
41,0500000US17083,"Jersey County, Illinois",550575,17083,88329,86349,84764,97043,91894,102193,1092,175,171,168,192,182,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,2,2,2,2,2
42,0500000US17085,"Jo Daviess County, Illinois",575506,17085,78350,90010,95140,110530,97938,103535,1053,143,164,174,202,179,189,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,1,1,1,1
43,0500000US17087,"Johnson County, Illinois",290292,17087,40515,45527,50540,50957,51793,50957,564,78,88,98,99,100,99,9,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0500000US17089,"Kane County, Illinois",1843417986,17089,300429961,312776398,290299552,297264208,295681332,346966531,22241,3624,3773,3502,3586,3567,4186,2619,426,444,412,422,420,492,96,15,16,15,15,15,18,1254,204,212,197,202,201,236
45,0500000US17091,"Kankakee County, Illinois",35133435,17091,5690350,5703451,5685982,5908705,5891237,6253707,5154,834,836,834,866,864,917,1353,219,219,218,227,226,240,26,4,4,4,4,4,4,54,8,8,8,9,9,9
46,0500000US17093,"Kendall County, Illinois",47054486,17093,7131174,7252482,7685724,7850357,8183953,8950793,7641,1158,1177,1248,1274,1328,1453,688,104,106,112,114,119,130,26,3,4,4,4,4,4,327,49,50,53,54,56,62
47,0500000US17095,"Knox County, Illinois",13621220,17095,2418434,2300141,2304522,2216898,2194992,2186229,2000,355,337,338,325,322,321,436,77,73,73,70,70,69,0,0,0,0,0,0,0,34,6,5,5,5,5,5
48,0500000US17097,"Lake County, Illinois",2183321077,17097,352765610,349874088,353432884,352988034,351875911,422384548,32223,5206,5163,5216,5209,5193,6233,3494,564,559,565,564,563,675,40,6,6,6,6,6,7,2945,475,471,476,476,474,569
49,0500000US17099,"LaSalle County, Illinois",31183145,17099,4827625,4901829,5085157,5294674,5543476,5530381,5614,869,882,915,953,998,995,146,22,22,23,24,25,25,58,8,9,9,9,10,10,31,4,4,5,5,5,5
50,0500000US17101,"Lawrence County, Illinois",435421,17101,70745,72429,72850,72429,69060,77904,812,131,135,135,135,128,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0500000US17103,"Lee County, Illinois",995852,17103,173191,171309,160014,163779,158602,168955,1665,289,286,267,273,265,282,88,15,15,14,14,14,14,0,0,0,0,0,0,0,11,1,1,1,1,1,1
52,0500000US17105,"Livingston County, Illinois",1030979,17105,163195,173556,175283,173988,174851,170102,1942,307,326,330,327,329,320,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,2,2,2,2,2
53,0500000US17107,"Logan County, Illinois",747732,17107,130077,129216,126632,113279,125339,123186,1316,228,227,222,199,220,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,4,4,3,4,4
54,0500000US17109,"McDonough County, Illinois",741712,17109,114174,121309,124248,128026,131384,122569,1228,189,200,205,211,217,202,63,9,10,10,10,11,10,0,0,0,0,0,0,0,45,6,7,7,7,7,7
55,0500000US17111,"McHenry County, Illinois",91188457,17111,14633757,14253874,14485107,15228356,15310939,17276422,15033,2412,2349,2387,2510,2524,2848,400,64,62,63,66,67,75,2,0,0,0,0,0,0,356,57,55,56,59,59,67
56,0500000US17113,"McLean County, Illinois",53865217,17113,8956079,9024741,9295097,8904582,9162064,8522651,7739,1286,1296,1335,1279,1316,1224,1131,188,189,195,186,192,178,49,8,8,8,8,8,7,859,142,143,148,142,146,135
57,0500000US17115,"Macon County, Illinois",34433296,17115,5644517,5587897,5862283,5648872,5849217,5840507,4411,723,715,750,723,749,748,1424,233,231,242,233,241,241,45,7,7,7,7,7,7,102,16,16,17,16,17,17
58,0500000US17117,"Macoupin County, Illinois",12621151,17117,1864229,1855113,2105804,2151384,2269892,2374727,2334,344,343,389,397,419,439,13,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0500000US17119,"Madison County, Illinois",82557587,17119,12793014,14008350,13667203,14413463,13731168,13944385,12935,2004,2194,2141,2258,2151,2184,1718,266,291,284,299,285,290,31,4,5,5,5,5,5,145,22,24,24,25,24,24
60,0500000US17121,"Marion County, Illinois",12661182,17121,2089666,2058871,2045673,2208448,2129260,2129260,2141,353,348,345,373,360,360,103,16,16,16,17,17,17,8,1,1,1,1,1,1,19,3,3,3,3,3,3
61,0500000US17123,"Marshall County, Illinois",291366,17123,49586,45742,53814,43435,50354,48432,608,103,95,112,90,105,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0500000US17125,"Mason County, Illinois",355320,17125,58380,54180,55020,56280,65519,65940,668,109,101,103,105,123,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0500000US17127,"Massac County, Illinois",401404,17127,58505,66254,61217,70516,72066,72841,709,103,117,108,124,127,128,28,4,4,4,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0500000US17129,"Menard County, Illinois",360344,17129,51604,53384,56498,63171,64950,70734,661,94,97,103,115,119,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,2,2,3,3,3
65,0500000US17131,"Mercer County, Illinois",401424,17131,62516,64573,66629,67041,66218,74444,807,125,129,133,134,133,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
66,0500000US17133,"Monroe County, Illinois",872787,17133,132922,136194,144373,142328,151326,165641,1659,252,258,274,270,287,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0500000US17135,"Montgomery County, Illinois",765760,17135,127765,126095,125260,129018,125678,131941,1514,252,249,247,255,248,260,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0500000US17137,"Morgan County, Illinois",1067786,17137,188203,175526,178451,176014,173576,176014,1602,282,263,267,264,260,264,61,10,10,10,10,9,10,7,1,1,1,1,1,1,0,0,0,0,0,0,0
69,0500000US17139,"Moultrie County, Illinois",479432,17139,81622,83684,74614,81210,77088,81210,911,155,159,141,154,146,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0500000US17141,"Ogle County, Illinois",14511296,17141,2323070,2318559,2413286,2345624,2476438,2634316,2565,410,409,426,414,437,465,6,0,0,0,0,1,1,0,0,0,0,0,0,0,22,3,3,3,3,3,3
71,0500000US17143,"Peoria County, Illinois",65816361,17143,10889478,11078750,11507768,10700205,10809563,10830593,7569,1252,1274,1323,1230,1243,1245,3179,525,535,555,516,522,523,52,8,8,9,8,8,8,675,111,113,118,109,110,111
72,0500000US17145,"Perry County, Illinois",470572,17145,81854,88344,77887,75003,73560,73921,924,160,173,152,147,144,145,22,3,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0500000US17147,"Piatt County, Illinois",451423,17147,77195,80131,72999,76775,67126,77195,834,142,148,134,141,124,142,11,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0500000US17149,"Pike County, Illinois",452446,17149,73451,74321,76928,74321,79536,73886,866,140,142,147,142,152,141,0,0,0,0,0,0,0,21,3,3,3,3,3,3,0,0,0,0,0,0,0
75,0500000US17151,"Pope County, Illinois",6896,17151,913,822,1187,1324,1415,1233,158,20,18,27,30,32,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
76,0500000US17153,"Pulaski County, Illinois",186120,17153,29195,30237,28673,33887,30237,33887,179,28,29,27,32,29,32,97,15,15,14,17,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0500000US17155,"Putnam County, Illinois",161148,17155,22473,24117,26309,29598,30146,28502,278,38,41,45,51,52,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0500000US17157,"Randolph County, Illinois",832810,17157,140839,128611,145478,137466,141683,138731,1525,257,235,266,251,259,254,80,13,12,13,13,13,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0
79,0500000US17159,"Richland County, Illinois",531472,17159,89717,95182,85163,84252,89261,87895,958,161,171,153,151,160,158,15,2,2,2,2,2,2,11,1,1,1,1,1,1,0,0,0,0,0,0,0
80,0500000US17161,"Rock Island County, Illinois",46974709,17161,7570532,7863832,7676800,8012607,7885085,7965849,6553,1056,1097,1070,1117,1099,1111,1281,206,214,209,218,215,217,42,6,7,6,7,7,7,381,61,63,62,64,63,64
81,0500000US17163,"St. Clair County, Illinois",88838385,17163,15119252,15342277,15402680,15611766,11262774,16099634,9751,1659,1683,1690,1713,1236,1767,5848,995,1009,1013,1027,741,1059,13,2,2,2,2,1,2,200,34,34,34,35,25,36
82,0500000US17165,"Saline County, Illinois",754693,17165,127584,125854,131909,125854,124124,119366,1312,221,218,229,218,215,207,60,10,10,10,10,9,9,0,0,0,0,0,0,0,16,2,2,2,2,2,2
83,0500000US17167,"Sangamon County, Illinois",61795859,17167,9884044,10291365,10053039,10282699,10516692,10768018,8465,1353,1409,1377,1408,1440,1475,2261,361,376,367,376,384,393,0,0,0,0,0,0,0,166,26,27,27,27,28,28
84,0500000US17169,"Schuyler County, Illinois",162157,17169,22256,22256,25436,30887,29070,32249,309,42,42,48,58,55,61,10,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0500000US17171,"Scott County, Illinois",119123,17171,15000,17647,18089,23824,24706,19853,235,29,34,35,47,48,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0500000US17173,"Shelby County, Illinois",609586,17173,103741,99025,107599,98168,101168,99882,1153,196,187,203,185,191,188,37,6,6,6,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0500000US17175,"Stark County, Illinois",155149,17175,27404,29933,24452,25296,24452,23609,291,51,56,45,47,45,44,7,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0500000US17177,"Stephenson County, Illinois",13411238,17177,2070368,2224217,2215425,2272569,2237404,2391253,1893,292,313,312,320,315,337,339,52,56,56,57,56,60,0,0,0,0,0,0,0,8,1,1,1,1,1,1
89,0500000US17179,"Tazewell County, Illinois",40834158,17179,6534976,6568553,6849763,6950494,7068015,6862354,7755,1241,1247,1300,1320,1342,1303,82,13,13,13,13,14,13,2,0,0,0,0,0,0,48,7,7,8,8,8,8
90,0500000US17181,"Union County, Illinois",523437,17181,89253,95297,87394,84140,82280,85070,834,142,151,139,134,131,135,29,4,5,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0500000US17183,"Vermilion County, Illinois",27432637,17183,4509062,4461779,4547748,4526256,4659507,4728282,3875,636,630,642,639,658,667,1171,192,190,194,193,198,201,15,2,2,2,2,2,2,16,2,2,2,2,2,2
92,0500000US17185,"Wabash County, Illinois",330326,17185,55928,51995,56802,55054,58112,52432,637,107,100,109,106,112,101,19,3,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0500000US17187,"Warren County, Illinois",550546,17187,92634,99915,90207,91420,91016,85352,883,148,160,144,146,145,136,12,2,2,1,1,1,1,0,0,0,0,0,0,0,106,17,19,17,17,17,16
94,0500000US17189,"Washington County, Illinois",324394,17189,61452,48417,53631,51768,52513,56610,673,127,100,111,107,108,117,20,3,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0500000US17191,"Wayne County, Illinois",505498,17191,87951,80399,81732,86618,81288,87507,930,161,147,150,159,149,160,34,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0500000US17193,"White County, Illinois",429483,17193,59185,66194,76317,73592,79432,74760,874,120,134,155,149,161,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,2,2,2,2,2
97,0500000US17195,"Whiteside County, Illinois",17181623,17195,2794288,2785623,2802952,2872268,2893929,3032560,2823,459,457,460,471,475,498,82,13,13,13,13,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0500000US17197,"Will County, Illinois",2188521167,17197,385612341,382874265,394853347,405463390,405349304,214368517,30175,5316,5279,5444,5590,5588,2955,4568,804,799,824,846,846,447,83,14,14,14,15,15,8,1659,292,290,299,307,307,162
99,0500000US17199,"Williamson County, Illinois",20341916,17199,3327091,3379417,3488431,3405581,3484070,3257322,3487,570,579,597,583,597,558,144,23,23,24,24,24,23,3,0,0,0,0,0,0,69,11,11,11,11,11,11
100,0500000US17201,"Winnebago County, Illinois",93209014,17201,16150900,22751124,16730335,16443948,10316596,10816108,12334,2137,3010,2213,2175,1365,1431,3142,544,766,563,554,347,364,38,6,9,6,6,4,4,417,72,101,74,73,46,48
101,0500000US17203,"Woodford County, Illinois",12471165,17203,1993359,2014475,2006028,2124279,2098939,2234082,2346,374,378,377,399,394,420,11,1,1,1,1,1,1,0,0,0,0,0,0,0,27,4,4,4,4,4,4
