,GEO.id,county,IndianAlaska,geoid,IndianAlaska0,IndianAlaska1,IndianAlaska2,IndianAlaska3,IndianAlaska4,IndianAlaska5
0,0500000US17001,"Adams County, Illinois",28,17001,4,4,4,4,4,4
1,0500000US17003,"Alexander County, Illinois",0,17003,0,0,0,0,0,0
2,0500000US17005,"Bond County, Illinois",0,17005,0,0,0,0,0,0
3,0500000US17007,"Boone County, Illinois",0,17007,0,0,0,0,0,0
4,0500000US17009,"Brown County, Illinois",0,17009,0,0,0,0,0,0
5,0500000US17011,"Bureau County, Illinois",0,17011,0,0,0,0,0,0
6,0500000US17013,"Calhoun County, Illinois",0,17013,0,0,0,0,0,0
7,0500000US17015,"Carroll County, Illinois",0,17015,0,0,0,0,0,0
8,0500000US17017,"Cass County, Illinois",0,17017,0,0,0,0,0,0
9,0500000US17019,"Champaign County, Illinois",8,17019,1,1,1,1,1,1
10,0500000US17021,"Christian County, Illinois",0,17021,0,0,0,0,0,0
11,0500000US17023,"Clark County, Illinois",0,17023,0,0,0,0,0,0
12,0500000US17025,"Clay County, Illinois",7,17025,1,1,1,1,1,1
13,0500000US17027,"Clinton County, Illinois",0,17027,0,0,0,0,0,0
14,0500000US17029,"Coles County, Illinois",15,17029,2,2,2,2,2,2
15,0500000US17031,"Cook County, Illinois",619,17031,135,121,81,82,74,123
16,0500000US17033,"Crawford County, Illinois",0,17033,0,0,0,0,0,0
17,0500000US17035,"Cumberland County, Illinois",0,17035,0,0,0,0,0,0
18,0500000US17037,"DeKalb County, Illinois",0,17037,0,0,0,0,0,0
19,0500000US17039,"De Witt County, Illinois",0,17039,0,0,0,0,0,0
20,0500000US17041,"Douglas County, Illinois",0,17041,0,0,0,0,0,0
21,0500000US17043,"DuPage County, Illinois",143,17043,23,22,22,24,24,25
22,0500000US17045,"Edgar County, Illinois",4,17045,0,0,0,0,0,0
23,0500000US17047,"Edwards County, Illinois",0,17047,0,0,0,0,0,0
24,0500000US17049,"Effingham County, Illinois",0,17049,0,0,0,0,0,0
25,0500000US17051,"Fayette County, Illinois",0,17051,0,0,0,0,0,0
26,0500000US17053,"Ford County, Illinois",0,17053,0,0,0,0,0,0
27,0500000US17055,"Franklin County, Illinois",0,17055,0,0,0,0,0,0
28,0500000US17057,"Fulton County, Illinois",0,17057,0,0,0,0,0,0
29,0500000US17059,"Gallatin County, Illinois",3,17059,0,0,0,0,0,0
30,0500000US17061,"Greene County, Illinois",0,17061,0,0,0,0,0,0
31,0500000US17063,"Grundy County, Illinois",0,17063,0,0,0,0,0,0
32,0500000US17065,"Hamilton County, Illinois",0,17065,0,0,0,0,0,0
33,0500000US17067,"Hancock County, Illinois",0,17067,0,0,0,0,0,0
34,0500000US17069,"Hardin County, Illinois",0,17069,0,0,0,0,0,0
35,0500000US17071,"Henderson County, Illinois",0,17071,0,0,0,0,0,0
36,0500000US17073,"Henry County, Illinois",0,17073,0,0,0,0,0,0
37,0500000US17075,"Iroquois County, Illinois",0,17075,0,0,0,0,0,0
38,0500000US17077,"Jackson County, Illinois",4,17077,0,0,0,0,0,0
39,0500000US17079,"Jasper County, Illinois",0,17079,0,0,0,0,0,0
40,0500000US17081,"Jefferson County, Illinois",0,17081,0,0,0,0,0,0
41,0500000US17083,"Jersey County, Illinois",0,17083,0,0,0,0,0,0
42,0500000US17085,"Jo Daviess County, Illinois",0,17085,0,0,0,0,0,0
43,0500000US17087,"Johnson County, Illinois",0,17087,0,0,0,0,0,0
44,0500000US17089,"Kane County, Illinois",96,17089,15,16,15,15,15,18
45,0500000US17091,"Kankakee County, Illinois",26,17091,4,4,4,4,4,4
46,0500000US17093,"Kendall County, Illinois",26,17093,3,4,4,4,4,4
