,GEO.id,county,black,geoid,black0,black1,black2,black3,black4,black5
0,0500000US17001,"Adams County, Illinois",267,17001,43,46,43,43,44,45
1,0500000US17003,"Alexander County, Illinois",219,17003,38,40,34,34,34,35
2,0500000US17005,"Bond County, Illinois",3,17005,0,0,0,0,0,0
3,0500000US17007,"Boone County, Illinois",85,17007,13,13,13,14,14,15
4,0500000US17009,"Brown County, Illinois",0,17009,0,0,0,0,0,0
5,0500000US17011,"Bureau County, Illinois",13,17011,2,2,2,2,2,2
6,0500000US17013,"Calhoun County, Illinois",0,17013,0,0,0,0,0,0
7,0500000US17015,"Carroll County, Illinois",43,17015,6,7,7,7,6,7
8,0500000US17017,"Cass County, Illinois",22,17017,3,3,3,3,3,3
9,0500000US17019,"Champaign County, Illinois",1982,17019,347,341,332,328,316,315
10,0500000US17021,"Christian County, Illinois",0,17021,0,0,0,0,0,0
11,0500000US17023,"Clark County, Illinois",4,17023,0,0,0,0,0,0
12,0500000US17025,"Clay County, Illinois",0,17025,0,0,0,0,0,0
13,0500000US17027,"Clinton County, Illinois",6,17027,0,0,0,1,0,1
14,0500000US17029,"Coles County, Illinois",70,17029,11,12,11,11,11,12
15,0500000US17031,"Cook County, Illinois",81676,17031,17859,16073,10818,10826,9826,16270
16,0500000US17033,"Crawford County, Illinois",8,17033,1,1,1,1,1,1
17,0500000US17035,"Cumberland County, Illinois",0,17035,0,0,0,0,0,0
18,0500000US17037,"DeKalb County, Illinois",680,17037,110,111,106,113,117,120
19,0500000US17039,"De Witt County, Illinois",8,17039,1,1,1,1,1,1
20,0500000US17041,"Douglas County, Illinois",0,17041,0,0,0,0,0,0
21,0500000US17043,"DuPage County, Illinois",2805,17043,464,447,444,473,474,500
22,0500000US17045,"Edgar County, Illinois",12,17045,2,1,2,1,1,2
23,0500000US17047,"Edwards County, Illinois",7,17047,1,1,1,1,1,1
24,0500000US17049,"Effingham County, Illinois",13,17049,2,2,2,2,2,2
25,0500000US17051,"Fayette County, Illinois",0,17051,0,0,0,0,0,0
26,0500000US17053,"Ford County, Illinois",0,17053,0,0,0,0,0,0
27,0500000US17055,"Franklin County, Illinois",26,17055,4,4,4,4,4,4
28,0500000US17057,"Fulton County, Illinois",11,17057,1,1,1,1,1,1
29,0500000US17059,"Gallatin County, Illinois",0,17059,0,0,0,0,0,0
30,0500000US17061,"Greene County, Illinois",0,17061,0,0,0,0,0,0
31,0500000US17063,"Grundy County, Illinois",9,17063,1,1,1,1,1,1
32,0500000US17065,"Hamilton County, Illinois",17,17065,2,2,2,3,3,3
33,0500000US17067,"Hancock County, Illinois",20,17067,3,3,3,3,3,3
34,0500000US17069,"Hardin County, Illinois",0,17069,0,0,0,0,0,0
35,0500000US17071,"Henderson County, Illinois",0,17071,0,0,0,0,0,0
36,0500000US17073,"Henry County, Illinois",40,17073,6,6,6,6,6,6
37,0500000US17075,"Iroquois County, Illinois",53,17075,8,8,8,9,9,9
38,0500000US17077,"Jackson County, Illinois",380,17077,71,62,63,60,59,62
39,0500000US17079,"Jasper County, Illinois",0,17079,0,0,0,0,0,0
