,GEO.id,county,white,geoid,white0,white1,white2,white3,white4,white5
0,0500000US17001,"Adams County, Illinois",3619,17001,588,626,595,592,602,614
1,0500000US17003,"Alexander County, Illinois",221,17003,39,41,34,34,34,36
2,0500000US17005,"Bond County, Illinois",759,17005,126,113,127,131,133,126
3,0500000US17007,"Boone County, Illinois",2769,17007,427,445,435,473,479,507
4,0500000US17009,"Brown County, Illinois",265,17009,47,49,37,46,38,45
5,0500000US17011,"Bureau County, Illinois",1636,17011,284,284,271,255,258,282
6,0500000US17013,"Calhoun County, Illinois",263,17013,39,46,35,43,53,44
7,0500000US17015,"Carroll County, Illinois",643,17015,101,113,106,113,97,110
8,0500000US17017,"Cass County, Illinois",603,17017,91,88,103,104,108,106
9,0500000US17019,"Champaign County, Illinois",7563,17019,1326,1302,1267,1255,1205,1205
10,0500000US17021,"Christian County, Illinois",1820,17021,283,305,309,323,288,310
11,0500000US17023,"Clark County, Illinois",903,17023,159,158,136,147,147,152
12,0500000US17025,"Clay County, Illinois",781,17025,113,119,138,149,125,134
13,0500000US17027,"Clinton County, Illinois",1986,17027,319,329,330,343,321,341
14,0500000US17029,"Coles County, Illinois",2272,17029,371,394,363,376,374,391
15,0500000US17031,"Cook County, Illinois",172617,17031,37745,33971,22863,22880,20768,34387
16,0500000US17033,"Crawford County, Illinois",981,17033,154,161,165,165,168,165
17,0500000US17035,"Cumberland County, Illinois",654,17035,109,112,104,106,105,115
18,0500000US17037,"DeKalb County, Illinois",4697,17037,766,768,737,783,808,832
19,0500000US17039,"De Witt County, Illinois",843,17039,127,126,131,154,152,150
20,0500000US17041,"Douglas County, Illinois",1276,17041,209,220,219,203,209,212
21,0500000US17043,"DuPage County, Illinois",41434,17043,6857,6614,6566,6993,7014,7387
22,0500000US17045,"Edgar County, Illinois",937,17045,169,151,165,145,148,156
23,0500000US17047,"Edwards County, Illinois",379,17047,64,65,60,65,64,58
24,0500000US17049,"Effingham County, Illinois",2123,17049,331,338,346,364,361,381
25,0500000US17051,"Fayette County, Illinois",1186,17051,205,202,185,198,196,197
26,0500000US17053,"Ford County, Illinois",740,17053,121,135,107,125,113,136
27,0500000US17055,"Franklin County, Illinois",2226,17055,374,398,371,355,355,369
