,GEO.id,county,population,geoid,pop0,pop1,pop2,pop3,pop4,pop5
0,0500000US17001,"Adams County, Illinois",21252007,17001,3454125,3678311,3495641,3479035,3537157,3607734
1,0500000US17003,"Alexander County, Illinois",286219,17003,50928,53475,44817,44817,45326,46854
2,0500000US17005,"Bond County, Illinois",447410,17005,74724,66735,75194,77544,78484,74724
3,0500000US17007,"Boone County, Illinois",16941633,17007,2613851,2724491,2664561,2899669,2936549,3102508
4,0500000US17009,"Brown County, Illinois",134136,17009,23995,25175,18881,23601,19668,22814
5,0500000US17011,"Bureau County, Illinois",958877,17011,166912,166477,159088,149525,151264,165608
6,0500000US17013,"Calhoun County, Illinois",134135,17013,19995,23744,18329,22078,27076,22911
7,0500000US17015,"Carroll County, Illinois",372408,17015,58871,66007,61547,65561,56641,63777
8,0500000US17017,"Cass County, Illinois",466350,17017,70752,68170,80049,81081,84180,82114
9,0500000US17019,"Champaign County, Illinois",58205676,17019,10210409,10024381,9753794,9660780,9280268,9276040
10,0500000US17021,"Christian County, Illinois",980922,17021,152848,164572,166743,174125,155453,167177
11,0500000US17023,"Clark County, Illinois",476452,17023,84301,83882,72138,77591,78010,80527
12,0500000US17025,"Clay County, Illinois",425376,17025,62079,65139,75632,81315,68200,73009
13,0500000US17027,"Clinton County, Illinois",1094989,17027,176123,181905,182349,189466,177012,188131
14,0500000US17029,"Coles County, Illinois",13421248,17029,2194919,2331825,2146339,2225833,2212584,2309744
15,0500000US17031,"Cook County, Illinois",172889167078,17031,37805453161,34024907845,22899778897,22916433281,20801326431,34441267461
16,0500000US17033,"Crawford County, Illinois",503498,17033,79353,82924,84908,84908,86495,84908
17,0500000US17035,"Cumberland County, Illinois",373300,17035,62527,64394,59728,60661,60194,65794
18,0500000US17037,"DeKalb County, Illinois",30973077,17037,5053882,5070869,4862768,5164302,5334181,5487071
19,0500000US17039,"De Witt County, Illinois",518400,17039,78345,77836,80888,95133,93607,92589
20,0500000US17041,"Douglas County, Illinois",660673,17041,108547,114260,113852,105283,108547,110180
21,0500000US17043,"DuPage County, Illinois",2836327077,17043,469403837,452817129,449499788,478733861,480185198,505687261
22,0500000US17045,"Edgar County, Illinois",518478,17045,93878,83871,91496,80535,81965,86730
23,0500000US17047,"Edwards County, Illinois",199209,17047,33794,34683,31571,34683,33794,30681
